Time(ND) X(ND) Y(ND) Z(ND) VX(ND) VY(ND) VZ(ND)
6.542133998743802081e-01 7.266622422841716444e-01 1.947027408201716936e-01 3.472812431966173694e-04 1.141620234832977587e+00 -2.091221926586491475e-01 -1.094012737611328202e-02
6.870103137539254057e-01 7.636147701701800905e-01 1.863955631798277501e-01 -1.280848243217716548e-05 1.099270996143720369e+00 -2.926090745821727790e-01 -1.095775756967476075e-02
7.224789331880314691e-01 8.020597153922501832e-01 1.743492374638039299e-01 -4.033828463546671578e-04 1.053855805308455018e+00 -3.785461847978597860e-01 -1.094517499725587532e-02
7.515793406040941482e-01 8.324271191623533461e-01 1.621792619472866015e-01 -7.239607744608983530e-04 1.016732432437624345e+00 -4.462950412521966004e-01 -1.091052314060677111e-02
7.764282102435815514e-01 8.575197308872074542e-01 1.502015664854226273e-01 -9.972473400184876918e-04 9.851463875373166479e-01 -5.026656602545545027e-01 -1.086033507146727702e-02
7.978026422292515685e-01 8.784873786866286283e-01 1.387485269700078905e-01 -1.231546203236314092e-03 9.581575652561533651e-01 -5.504793911321501643e-01 -1.079641995897984152e-02
8.162861913152471560e-01 8.961624463214907799e-01 1.279912589918918986e-01 -1.433170153492328977e-03 9.350872160604263295e-01 -5.917139002422807659e-01 -1.071819503671197008e-02
8.323396952017977357e-01 9.111742754212939222e-01 1.180025876290017178e-01 -1.607140113675162340e-03 9.154024097978064045e-01 -6.278277701430817759e-01 -1.062363476762061623e-02
8.463362600709538608e-01 9.240100970528519753e-01 1.087960907631693036e-01 -1.757534996005502949e-03 8.986656179425774882e-01 -6.599311866315473729e-01 -1.050971147067263252e-02
8.585821230077904653e-01 9.350527818584535300e-01 1.003507069145704866e-01 -1.887705812732172082e-03 8.845088087872051696e-01 -6.888881667657444918e-01 -1.037260350989537352e-02
8.693311064418383083e-01 9.446067187872337900e-01 9.262602400742796227e-02 -2.000428082796486522e-03 8.726175304652494802e-01 -7.153838024325044342e-01 -1.020778172670994133e-02
8.787948344331237838e-01 9.529159670331771581e-01 8.557206229971407729e-02 -2.098011818095132323e-03 8.627204246002709853e-01 -7.399695726127459849e-01 -1.001003496735382477e-02
8.871509522001641557e-01 9.601779785054139760e-01 7.913503049021293478e-02 -2.182391118825846837e-03 8.545808838457451539e-01 -7.630965414388299894e-01 -9.773449972941897212e-03
8.945492561444008395e-01 9.665536243302087493e-01 7.326097391325694930e-02 -2.255191634724425503e-03 8.479907513774366246e-01 -7.851388807526269442e-01 -9.491369514092571832e-03
9.008456409809670884e-01 9.719435798832832818e-01 6.812209137970695605e-02 -2.315248165556282010e-03 8.429670923711539698e-01 -8.054947870630669859e-01 -9.172180440070131641e-03
9.068608567444740309e-01 9.770656109135255063e-01 6.308180490734471846e-02 -2.370436157404220805e-03 8.388007320936798905e-01 -8.268097119695720920e-01 -8.767784988760438797e-03
