Time(ND) X(ND) Y(ND) Z(ND) VX(ND) VY(ND) VZ(ND)
1.661636543947576927e-02 1.011069614101004266e+00 4.863756080045552113e-03 -6.311856368733119362e-04 -1.503931355513522083e+00 -3.102871166164173911e-01 3.668323359234922781e-02
1.684243741745804213e-02 1.010739279647679290e+00 4.782755428887145929e-03 -6.215176384112828557e-04 -1.479823336655741617e+00 -4.070029899367235693e-01 4.892792284740068998e-02
1.712043480779330135e-02 1.010341687544899836e+00 4.653520180821373031e-03 -6.058759568686384375e-04 -1.441364687400308764e+00 -5.234052363920619344e-01 6.367874807651227598e-02
1.739146977124371787e-02 1.009965587536066023e+00 4.496843613373596206e-03 -5.867364581768699534e-04 -1.394744398429048848e+00 -6.335095860709870630e-01 7.764579147579923901e-02
1.765478569876044457e-02 1.009613401890933293e+00 4.316578304573206668e-03 -5.645819455364674624e-04 -1.341108703069397334e+00 -7.366075845468502692e-01 9.073741866514410670e-02
1.791253160420939669e-02 1.009283328830784532e+00 4.114406012143681166e-03 -5.396284205003050449e-04 -1.280957896597969992e+00 -8.332272883213802661e-01 1.030191229338867087e-01
1.816993566760458437e-02 1.008970084073490314e+00 3.888280490179862447e-03 -5.116275043379910330e-04 -1.213683205022516809e+00 -9.249158962639681958e-01 1.146866326763652244e-01
1.842733547583544004e-02 1.008675026280096310e+00 3.639257681466015470e-03 -4.807112261644333039e-04 -1.139598887709218689e+00 -1.011275919814592195e+00 1.256888802732269439e-01
1.868474833709370814e-02 1.008399833516610000e+00 3.368754543777334638e-03 -4.470567209826916636e-04 -1.059126592106412579e+00 -1.091816396359273744e+00 1.359628844798466130e-01
1.894210210111178100e-02 1.008146159336034575e+00 3.078410288134640019e-03 -4.108692767852616069e-04 -9.727540638837607334e-01 -1.166053570322977517e+00 1.454465275811245295e-01
1.919943138782608319e-02 1.007915416765787331e+00 2.769866917259732313e-03 -3.723550039145907603e-04 -8.809698600839738214e-01 -1.233574111572143917e+00 1.540866269641424091e-01
1.945677370706383469e-02 1.007708896205948834e+00 2.444856565783162967e-03 -3.317316402141644912e-04 -7.842893338569211226e-01 -1.294000605641136614e+00 1.618345465105406611e-01
1.971401072543656208e-02 1.007527864747569168e+00 2.105406426578604242e-03 -2.892541933835051380e-04 -6.833155917704173410e-01 -1.346962499850705264e+00 1.686424595173278140e-01
1.997117128963432978e-02 1.007373313237501566e+00 1.753444618739167593e-03 -2.451656615446267925e-04 -5.786222507558483885e-01 -1.392170110712105169e+00 1.744728404432987490e-01
2.022830733941391804e-02 1.007246080496339236e+00 1.390929326826796913e-03 -1.997130958298455139e-04 -4.707918544848811448e-01 -1.429378270376979065e+00 1.792938272977760983e-01
2.048538423116452734e-02 1.007146898588895390e+00 1.019995703037785209e-03 -1.531660089473129869e-04 -3.604595674857292709e-01 -1.458373089918578058e+00 1.830775033827036768e-01
2.074239040849513993e-02 1.007076317640761554e+00 6.427950017448805405e-04 -1.057962093053118398e-04 -2.482653220923217718e-01 -1.478993951791020889e+00 1.858027325992694934e-01
2.099932874607702074e-02 1.007034716328520707e+00 2.614908623897570640e-04 -5.787729809320202708e-05 -1.348527111290471203e-01 -1.491130437448136226e+00 1.874547732380547338e-01
2.125628294231786050e-02 1.007022308700987523e+00 -1.218535410544750269e-04 -9.670445184142417778e-06 -2.083542100328775182e-02 -1.494720316650104630e+00 1.880250585012805120e-01
2.151309134138005771e-02 1.007039149352810359e+00 -5.048004751409464631e-04 3.851588592298032073e-05 9.306148630095685548e-02 -1.489748083566468706e+00 1.875108684079680732e-01
2.176993867472936176e-02 1.007085133553345280e+00 -8.854321735243086532e-04 8.643847751544107621e-05 2.062676308787559643e-01 -1.476244818189237362e+00 1.859155822451296902e-01
2.202671235490587243e-02 1.007159969908745012e+00 -1.261404072289048052e-03 1.338002631885700313e-04 3.180857276295395719e-01 -1.454296290643692036e+00 1.832494190018859326e-01
2.228324493130859688e-02 1.007263126877781634e+00 -1.630331577237958659e-03 1.802989553883312058e-04 4.278066266400216699e-01 -1.424058570938965484e+00 1.795315298028724305e-01
2.253962298654669724e-02 1.007393982811873867e+00 -1.990249612322150807e-03 2.256850117963846885e-04 5.348459850282598627e-01 -1.385714052583170819e+00 1.747845658159765392e-01
2.279604859423474753e-02 1.007551874512410128e+00 -2.339393725322903676e-03 2.697341502553731829e-04 6.386791599549095366e-01 -1.339457260207679079e+00 1.690328139801465512e-01
2.305230810614504466e-02 1.007735749801836000e+00 -2.675491473070317622e-03 3.121579434727382758e-04 7.386304733417878854e-01 -1.285596623300262697e+00 1.623148678715745641e-01
2.330849678003136388e-02 1.007944591363218567e+00 -2.996771743782164401e-03 3.527311553135726663e-04 8.341733790693838246e-01 -1.224430293034306061e+00 1.546682049230825307e-01
2.356437496051044800e-02 1.008176959274686535e+00 -3.301142034192875926e-03 3.911879134026880465e-04 9.246857935682709639e-01 -1.156380136013785309e+00 1.461458988946896520e-01
2.382162594312200662e-02 1.008433194842740521e+00 -3.588756003364707622e-03 4.275462533807376721e-04 1.010213611700333525e+00 -1.081346367484255389e+00 1.367357061405088947e-01
2.408484952087376271e-02 1.008717322207042466e+00 -3.862244564195855320e-03 4.621381379092698457e-04 1.091539359081487026e+00 -9.981509483302776209e-01 1.262897501596317307e-01
2.435473920196651668e-02 1.009029911526292400e+00 -4.119106271411219003e-03 4.946472087068548270e-04 1.167919358433991306e+00 -9.066274189631522429e-01 1.147867603957312549e-01
2.459448154382613133e-02 1.009324062222039187e+00 -4.325974683014905710e-03 5.208466217540493352e-04 1.229432276416155378e+00 -8.205072354988847128e-01 1.039542873653696714e-01
2.488623426841405153e-02 1.009700731836468135e+00 -4.549142595162740214e-03 5.491336607818619962e-04 1.295790643535307041e+00 -7.102331375172288297e-01 9.007391977252864057e-02
2.515896285091987275e-02 1.010069094913482735e+00 -4.728023353846676387e-03 5.718321538559336184e-04 1.348979312427164068e+00 -6.023961586110696542e-01 7.649171494993065035e-02
2.543110743134009699e-02 1.010449903935423110e+00 -4.876702696544306728e-03 5.907253519267182968e-04 1.393187061796107962e+00 -4.909204939473472140e-01 6.244390499538681610e-02
2.570293075390872248e-02 1.010841016951275817e+00 -4.994521147710718686e-03 6.057284707447214544e-04 1.428218179877396299e+00 -3.764330554484806579e-01 4.801014436327244450e-02
2.597453386437752546e-02 1.011240042833543296e+00 -5.080862045159211665e-03 6.167622163639396513e-04 1.453889682622319768e+00 -2.596336468697774125e-01 3.327931123571442606e-02
2.624576944308361012e-02 1.011644190705648594e+00 -5.135231281210865008e-03 6.237627982669873786e-04 1.470055020057499773e+00 -1.413390279584148257e-01 1.835507804286902120e-02
2.651706201524567375e-02 1.012051502386529744e+00 -5.157423591114077346e-03 6.267033430726645085e-04 1.476653513486156699e+00 -2.212218127288474029e-02 3.310394023749810202e-03
2.678827583001182691e-02 1.012459175435042269e+00 -5.147292317191120951e-03 6.255642631249108600e-04 1.473641897220502539e+00 9.719683480016579058e-02 -1.175059522099995875e-02
2.705948597100857334e-02 1.012864721998369077e+00 -5.104916081609230799e-03 6.203546903752465980e-04 1.461043871932598881e+00 2.158900779275836623e-01 -2.673534636215106966e-02
2.733088306832423889e-02 1.013265835329841602e+00 -5.030505077941788659e-03 6.111006029110017772e-04 1.438922242853155176e+00 3.332826376805876345e-01 -4.155800152405669107e-02
2.760243246904968070e-02 1.013659892008440977e+00 -4.924486390612611321e-03 5.978554209519657773e-04 1.407404284211810852e+00 4.486069457534698768e-01 -5.612099912151128495e-02
2.787415728845277912e-02 1.014044391090886288e+00 -4.787474246043203936e-03 5.806963983330969874e-04 1.366672895264706034e+00 5.611313011816791985e-01 -7.033130642224763585e-02
2.814638973484221568e-02 1.014417297175945087e+00 -4.620066211394205889e-03 5.596990176825835696e-04 1.316906015511779549e+00 6.702602573548174236e-01 -8.411310621138305688e-02
2.841919628744366336e-02 1.014776225132560050e+00 -4.423122521156764263e-03 5.349719587602108422e-04 1.258359666575814106e+00 7.752960277230526165e-01 -9.737767043078617013e-02
2.869244699054105882e-02 1.015118601332664738e+00 -4.197848734297843568e-03 5.066675702045089682e-04 1.191392523570729667e+00 8.754856788133489331e-01 -1.100293263696446172e-01
2.896650877223962833e-02 1.015442541691613076e+00 -3.945215995225842889e-03 4.749090190284730004e-04 1.116293578015400190e+00 9.702780697624641126e-01 -1.219979092303679208e-01
2.924154059319654733e-02 1.015745924983980863e+00 -3.666472624089718319e-03 4.398545201808324841e-04 1.033434223861555479e+00 1.059052670646396965e+00 -1.332045199461188711e-01
2.951773610222458571e-02 1.016026711231200919e+00 -3.362969472958769745e-03 4.016754052075405821e-04 9.432163431298310474e-01 1.141212735703387438e+00 -1.435732960481280185e-01
2.979586103305615144e-02 1.016283400845305884e+00 -3.035498927090807091e-03 3.604729409876092578e-04 8.458758291710655186e-01 1.216319647530470949e+00 -1.530483588312734899e-01
3.007573352409123602e-02 1.016513573129257830e+00 -2.686057509090947291e-03 3.165000925798634214e-04 7.420065268268519754e-01 1.283665284510242088e+00 -1.615398607140905440e-01
3.035807317762681881e-02 1.016715600023474053e+00 -2.315702015653796179e-03 2.698917971251460772e-04 6.319229716235728045e-01 1.342773467724789338e+00 -1.689872507077778696e-01
3.064370948287322913e-02 1.016887727742575631e+00 -1.925402541802943108e-03 2.207722842111250051e-04 5.159139676810308162e-01 1.393131244670202218e+00 -1.753253501115870916e-01
3.092951334883437681e-02 1.017026271912795377e+00 -1.521902463970476295e-03 1.699925678976761721e-04 3.959843003337796263e-01 1.433660923763027784e+00 -1.804180700097283707e-01
3.121502533051627101e-02 1.017130055485232720e+00 -1.108709120802427563e-03 1.179965006236435192e-04 2.731768351981191945e-01 1.464018461285811812e+00 -1.842219437716494657e-01
3.150039276939597954e-02 1.017198481039297997e+00 -6.885491151467024997e-04 6.512970647801204313e-05 1.483023546684328342e-01 1.484029426233895776e+00 -1.867149672247679082e-01
3.178572545721791709e-02 1.017231127798414514e+00 -2.642316260341242510e-04 1.174820356441676756e-05 2.219615426619719542e-02 1.493571102270463635e+00 -1.878817566196309130e-01
3.207118232721931084e-02 1.017227769146899830e+00 1.614867123242081553e-04 -4.179862120134006430e-05 -1.043221241608668776e-01 1.492577609498335400e+00 -1.877141849164380150e-01
3.235690210187061600e-02 1.017188356483824663e+00 5.858060763622728638e-04 -9.515599007206569291e-05 -2.304200482297382724e-01 1.481035180863333300e+00 -1.862107935596122033e-01
3.264306398132881676e-02 1.017113013652080511e+00 1.005978604831642706e-03 -1.479757232217394729e-04 -3.552806809399670085e-01 1.458980526711094683e+00 -1.833765763620101574e-01
3.292985296761691966e-02 1.017002029744656699e+00 1.419259357373215411e-03 -1.999100888473261724e-04 -4.780880133449721958e-01 1.426498727256046095e+00 -1.792227175930710958e-01
3.321739917042836748e-02 1.016855893895662666e+00 1.822824385871042599e-03 -2.506015361672348863e-04 -5.980026289263936645e-01 1.383733407491008149e+00 -1.737678884833553372e-01
3.350599168353310398e-02 1.016675186058606739e+00 2.214072640203850091e-03 -2.997206384456257500e-04 -7.142514181864640932e-01 1.330854767738336664e+00 -1.670341693774997083e-01
3.379592252628191296e-02 1.016460616354225355e+00 2.590388297748640305e-03 -3.469362279973182365e-04 -8.260569562190478443e-01 1.268071095237024437e+00 -1.590485316064058630e-01
3.408518868963953535e-02 1.016215107409936591e+00 2.946391744036801815e-03 -3.915708935536899092e-04 -9.318208397959265588e-01 1.196238011448016225e+00 -1.499202282852650225e-01
3.437207309104415437e-02 1.015942366491342952e+00 3.277735305547374231e-03 -4.330778946224463012e-04 -1.030251541706233231e+00 1.116440586493519849e+00 -1.397874786278114068e-01
3.465716809757971029e-02 1.015644394167014353e+00 3.583236429032197849e-03 -4.713079204717721192e-04 -1.120997983799862929e+00 1.029264450967872779e+00 -1.287249889714681683e-01
3.494062386117326169e-02 1.015323598227636737e+00 3.861353915397862206e-03 -5.060670546326599597e-04 -1.203602615534891118e+00 9.354143198114417412e-01 -1.168225971509572747e-01
3.522293456413731066e-02 1.014982000382746330e+00 4.111027519255623479e-03 -5.372218543602093679e-04 -1.277750806553005658e+00 8.354818962954539963e-01 -1.041558137294406328e-01
3.550431113595720750e-02 1.014621935804671526e+00 4.331032894373951052e-03 -5.646186885635569959e-04 -1.343079242332511969e+00 7.301505268465434684e-01 -9.081177884156653446e-02
